" 
                  1 - 0
                "," 
                   13523/2543
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  2
                "," 
                  3
                "," 
                  43
                "," 
                 156,230,400.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   5363/2556
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  3
                "," 
                  59
                "," 
                 31,585,420.00
                ", ลาดพร้าว, ลาดพร้าว, กรุงเทพ
" 
                  1 - 0
                "," 
                   ธ.3420/2548
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  25
                "," 
                 20,483,500.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   ธ.3420/2548
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  24
                "," 
                 20,483,500.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   ธ.3420/2548
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  24
                "," 
                 20,483,500.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   ธ.3420/2548
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  24
                "," 
                 20,483,500.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   ธ.3420/2548
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  24
                "," 
                 20,483,500.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   ธ.3420/2548
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  24
                "," 
                 20,483,500.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   ธ.3420/2548
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  24
                "," 
                 20,483,500.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   ธ.3420/2548
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  24
                "," 
                 20,483,500.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
" 
                  1 - 0
                "," 
                   2373/2557
                "," 
                    ที่ดินพร้อมสิ่งปลูกสร้าง
                "," 
                  0
                "," 
                  0
                "," 
                  75
                "," 
                 11,732,380.00
                ", หัวหมาก, บางกะปิ, กรุงเทพ
